SISID,Count Location,Day,Date,Temperature,Weather,Start Time,End Time,Duration,Travel Lanes,Parking,Speed limit,Bike Lanes,On Sidewalk,On Path/Trail,With Helmet,No Helmet,Male,Female,Peak Hour,CaBi Bikes,Total
10000000,11th St Brg,Tuesday,7/7/2015,0,,6:00,10:00,4,2,0,,0,34,0,26,20,39,7,23,0,46
10000000,11th St Brg,Tuesday,7/7/2015,0,,15:00,19:00,4,2,0,,0,48,0,20,37,49,8,22,0,57
10000005,Marvin Gaye Trail,Tuesday,7/7/2015,0,,6:00,10:00,4,0,0,,0,0,0,1,1,1,1,1,0,2
10000005,Marvin Gaye Trail,Thursday,7/7/2015,0,,15:00,19:00,4,0,0,,0,0,0,1,2,3,0,3,0,3
10030630,3rd St,Tuesday,7/7/2015,0,,15:00,19:00,4,1,1,25,Yes,8,0,87,38,95,30,52,0,125
10030630,3rd St,Tuesday,7/7/2015,0,,6:00,10:00,4,1,1,25,Yes,2,0,116,16,97,35,52,0,132
10060050,6th St,Tuesday,7/28/2015,0,,15:00,19:00,4,0,,25,0,18,0,58,50,88,20,35,10,108
10060050,6th St,Tuesday,7/28/2015,0,,6:00,10:00,4,0,,25,0,14,0,48,40,63,25,40,11,88
10150100,15th St,Thursday,7/9/2015,0,,15:00,19:00,4,0,,,Yes,19,0,409,204,442,171,275,,613
10150100,15th St,Thursday,7/9/2015,0,,6:00,10:00,4,0,,,Yes,9,0,384,109,344,149,215,,493
10150150,15th St,Thursday,7/9/2015,0,,15:00,19:00,4,0,,,Yes,1,0,416,221,436,201,262,,637
10150150,15th St,Thursday,7/9/2015,0,,6:00,10:00,4,0,,,Yes,31,0,449,166,383,232,262,,615
10150185,15th St,Thursday,7/9/2015,0,,15:00,19:00,4,0,,,Yes,1,0,362,176,389,149,245,,538
10150185,15th St,Thursday,7/9/2015,0,,6:00,10:00,4,0,,,Yes,8,0,323,102,276,149,167,,425
10180200,18th St,Thursday,7/16/2015,0,,6:00,10:00,4,2,2,25,No,8,0,297,138,281,154,205,48,435
10180200,18th St,Thursday,7/16/2015,0,,15:00,19:00,4,2,2,25,No,32,0,387,155,310,232,225,54,542
13133050,E St,Tuesday,7/28/2015,0,,15:00,19:00,4,2,2,25,Yes,7,0,174,104,199,79,112,29,278
13133050,E St,Tuesday,7/28/2015,0,,6:00,10:00,4,2,2,25,Yes,7,0,194,68,175,87,117,39,262
15349180,L St,Thursday,7/23/2015,0,,15:00,19:00,4,2,1,25,Yes,35,0,304,241,397,148,216,0,545
15349180,L St,Thursday,7/23/2015,0,,6:00,10:00,4,2,1,25,Yes,14,0,148,59,153,54,105,0,207
15785180,M St,Thursday,7/16/2015,,,15:00,19:00,4,4,2,25,Yes,12,0,219,134,269,84,124,,353
15785180,M St,Thursday,7/16/2015,0,,6:00,10:00,4,2,2,25,Yes,13,0,251,174,302,123,193,0,425
15785215,M St,Thursday,7/16/2015,0,,15:00,19:00,4,2,2,25,Yes,20,0,231,118,262,87,127,0,349
15785215,M St,Thursday,7/16/2015,0,,6:00,10:00,4,2,2,25,Yes,8,0,108,76,131,53,82,0,184
15960380,Massachusetts Ave,Thursday,7/23/2015,0,,15:00,19:00,4,2,1,25,No,24,0,43,24,44,23,28,0,67
15960380,Massachusetts Ave,Thursday,7/23/2015,0,,6:00,10:00,4,2,1,25,No,7,0,46,13,47,12,29,0,59
16422180,New Hampshire Ave,Thursday,7/9/2015,0,,15:00,19:00,4,1,2,25,Yes,9,0,237,208,335,110,179,74,445
16422180,New Hampshire Ave,Thursday,7/9/2015,0,,6:00,10:00,4,1,2,25,Yes,0,0,258,152,296,114,179,46,410
16441300,New Mexico Ave,Thursday,7/23/2015,0,,6:00,10:00,4,2,2,25,Yes,1,0,20,4,18,6,11,0,24
16441300,New Mexico Ave,Thursday,7/23/2015,0,,15:00,19:00,4,2,2,25,Yes,4,0,23,6,20,9,17,0,29
16981060,Pennsylvania Ave,Wednesday,8/12/2015,0,,15:00,19:00,4,8,,25,Yes,25,0,340,208,384,164,239,,548
16981060,Pennsylvania Ave,Wednesday,8/12/2015,0,,6:00,10:00,4,8,,25,Yes,19,0,408,125,354,179,227,,533
16981136,Pennsylvania Ave,Wednesday,8/12/2015,0,,15:00,19:00,4,5,2,25,Yes,16,0,317,174,328,163,218,,491
16981136,Pennsylvania Ave,Wednesday,8/12/2015,0,,6:00,10:00,4,5,2,25,Yes,7,0,371,104,293,182,222,,475
